num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
191;1;2;10;1;55;2.5;1.6;2.82393768
192;1;2;10;1;25;2.5;1.6;2.826850667
241;2;1;20;0;55;2;1.85;9.301339142
242;2;1;20;0;25;2;1.85;9.289939988
243;2;1;20;1;55;2;1.85;8.528804454
244;2;1;20;1;25;2;1.85;8.606748387
245;2;1;20;0;55;1.5;1.85;9.586572344
246;2;1;20;0;25;1.5;1.85;9.622864041
247;2;1;20;1;55;1.5;1.85;8.778060823
248;2;1;20;1;25;1.5;1.85;8.878092697
249;2;1;20;0;55;2.5;1.85;8.899709391
250;2;1;20;0;25;2.5;1.85;8.82933128
251;2;1;20;1;55;2.5;1.85;8.277535276
252;2;1;20;1;25;2.5;1.85;8.345281804
253;2;1;20;0;55;2;1;18.624728
254;2;1;20;0;25;2;1;18.68731239
255;2;1;20;1;55;2;1;16.63542813
256;2;1;20;1;25;2;1;16.80561681
257;2;1;20;0;55;1.5;1;19.33718147
258;2;1;20;0;25;1.5;1;19.40884338
259;2;1;20;1;55;1.5;1;17.20722234
260;2;1;20;1;25;1.5;1;17.37557792
261;2;1;20;0;55;2.5;1;17.69959246
262;2;1;20;0;25;2.5;1;17.75734439
263;2;1;20;1;55;2.5;1;15.97391729
264;2;1;20;1;25;2.5;1;16.13873409
265;2;1;20;0;55;2;1.4;14.10390175
266;2;1;20;0;25;2;1.4;14.13302396
267;2;1;20;1;55;2;1.4;12.9567533
268;2;1;20;1;25;2;1.4;13.08069929
269;2;1;20;0;55;1.5;1.4;14.73295701
270;2;1;20;0;25;1.5;1.4;14.79602045
271;2;1;20;1;55;1.5;1.4;13.43047614
272;2;1;20;1;25;1.5;1.4;13.60838985
273;2;1;20;0;55;2.5;1.4;13.46123165
274;2;1;20;0;25;2.5;1.4;13.44995671
275;2;1;20;1;55;2.5;1.4;12.47575952
276;2;1;20;1;25;2.5;1.4;12.58424423
277;2;1;20;0;55;2;1.6;11.69224632
278;2;1;20;0;25;2;1.6;11.63590147
279;2;1;20;1;55;2;1.6;10.78844016
280;2;1;20;1;25;2;1.6;10.86008173
281;2;1;20;0;55;1.5;1.6;12.0854334
282;2;1;20;0;25;1.5;1.6;12.1015556
283;2;1;20;1;55;1.5;1.6;11.15265978
284;2;1;20;1;25;1.5;1.6;11.29408287
285;2;1;20;0;55;2.5;1.6;11.15933318
286;2;1;20;0;25;2.5;1.6;11.12091398
287;2;1;20;1;55;2.5;1.6;10.40045074
288;2;1;20;1;25;2.5;1.6;10.50614528
289;2;1;10;0;55;2;1.85;8.588278014
290;2;1;10;0;25;2;1.85;8.468029587
291;2;1;10;1;55;2;1.85;8.919544343
292;2;1;10;1;25;2;1.85;8.921075931
293;2;1;10;0;55;1.5;1.85;8.890831718
294;2;1;10;0;25;1.5;1.85;8.801805394
295;2;1;10;1;55;1.5;1.85;9.324924501
296;2;1;10;1;25;1.5;1.85;9.414246671
297;2;1;10;0;55;2.5;1.85;8.253622365
298;2;1;10;0;25;2.5;1.85;8.093689204
299;2;1;10;1;55;2.5;1.85;8.495091152
300;2;1;10;1;25;2.5;1.85;8.507099641
301;2;1;10;0;55;2;1;16.9759349
302;2;1;10;0;25;2;1;16.86396564
303;2;1;10;1;55;2;1;17.5937045
304;2;1;10;1;25;2;1;17.79172059
305;2;1;10;0;55;1.5;1;17.58682568
306;2;1;10;0;25;1.5;1;17.55169179
307;2;1;10;1;55;1.5;1;18.64528709
308;2;1;10;1;25;1.5;1;18.89749563
309;2;1;10;0;55;2.5;1;16.204565
310;2;1;10;0;25;2.5;1;15.93940244
311;2;1;10;1;55;2.5;1;16.79263782
312;2;1;10;1;25;2.5;1;16.82112249
313;2;1;10;0;55;2;1.4;12.96489712
314;2;1;10;0;25;2;1.4;12.88581745
